ID	A_ID	Author_Initials	Title	City	Printed_in	Year	Author_full_name	Author_birth	Author_death	RP_biography
COL_72	A-71	Краснов С.	Стихи. Поэт и Мулла. Соч. Стахия Краснова [от поручика Краснова. 18 стр]	М.	Кирилова	1838	Краснов Стахий	NA	NA	NA
COL_73	A-72	Леонов А.А.	Стихотворения Алексея Леонова. 1834-1838	Харьков	Губ.	1839	Леонов Алексей Алексеевич	1815	1882	3-321
COL_74	A-73	Максимов М.И.	Патриотические песни: С прил. нот для пения и фортепиано / Соч. Михаила Максимова	СПб.	Глазунова	1838	Максимов Михаил Иванович	1810	после 1856	3-483
COL_75	A-74	Марков М.А.	Мечты и были: В 3 ч	СПб.	Праца	1838	Марков Михаил Александрович	1810	1876	3-528
COL_76	A-75	Анисимова Д.А.	Стихи бедной девицы, слепой дочери деревенского пономаря, сообщенные в Императорскую Российскую Академию, и от ней изданные	СПб.	Рос. Акад.	1838	Анисимова (Онисимова) Домна Анисимовна	1812	1868	1-77
COL_78	A-26	Полежаев А.И.	Арфа: Стихотворения Александра Полежаева	М.	Кирилова	1838	Полежаев Александр Иванович	1804	1838	5-40
COL_79	A-77	Сушков Д.П.	Стихотворения Д. Сушкова	СПб.	Штаба отд. корп. внутр. стражи	1838	Сушков Дмитрий Петрович	1817	1894	6-156
COL_80	A-78	Теплова Н.С.	Стихотворения Н. Тепловой. Изд. 2, умноженное	М.	Лазаревых	1838	Терюхина (Теплова) Надежда Сергеевна	1814	1848	6-191
COL_82	A-79	Молчанова В.	Стихотворения, сочиненные девицей B.М.	СПб.	Глазунова	1838	NA	NA	NA	NA
COL_83	A-132	М.Д.	И то и се или собрание сочинений в стихах и прозе М.Д.	М.	Смирнова	1838	NA	NA	NA	NA
COL_155	NA	NA	Поздравительные стихи за 1838 год гг. Старшинам, Членам и Гостям Немецкого клуба	М.	Степанова	1838	NA	NA	NA	NA
COL_158	NA	NA	Фантастическое зеркало в шуточно-сатирических стихах. Соч. Г.Б.М.	М.	Лазаревых	1838	NA	NA	NA	NA
COL_160	A-80	Дмитриев И.И.	Басни и апологи И.И. Дмитриева	СПб.	Военн.	1838	Дмитриев Иван Иваночи	1760	1837	NA
COL_161	NA	NA	Любовь к добродетельной деве, или Черты душевной красоты: Стихотворения, писанные в 1822 г.	М.	Ун.	1838	NA	NA	NA	NA
COL_162	A-81	Раевич  И.А.	Плоды вечерних безделок, сочинение Ивана Раевича	М.	Евреинова	1838	Раевич Иван Александрович	1801	1847	NA
COL_163	NA	NA	Стихи для конфектов	Вильна	А. Дворца	1838	NA	NA	NA	NA
COL_164	A-82	Праволамский П.	Стихотворения П. Праволамского	Ярославль	Губ. правления	1838	Праволамский Петр	1820	1869	5-133
COL_165	A-83	Моствило-Головач Т.	Стихотворения П. Моствило-Головача	Смоленск	Губ. правления	1838	NA	NA	NA	NA
