ID	A_ID	Author_Initials	Title	City	Printed_in	Year	Author_full_name	Author_birth	Author_death	RP_biography
COL_210	NA	NA	Одесский Альманах, на 1839 год	Одесса	Городской	1839	NA	NA	NA	NA
COL_211	NA	NA	Одесский Альманах, на 1840 год	Одесса	Городской	1839	NA	NA	NA	NA
COL_124	A-109	Анордист Н.	Альманах на 1840 год / Н. Анордиста	М.	А. Семена	1840	NA	NA	NA	NA
COL_125	A-65	Владиславлев В.А.	Утренняя заря Альманах Владиславлева на 1841 год	СПб.	III Отд. собств. Е.И.В. канц.	1840	Владиславлев Владимир Андреевич	1806	1856	1-450
COL_126	A-110	Давыдов Д.В.	Сочинения в стихах и прозе Дениса Давыдова	СПб.	А. Смирдина	1840	Давыдов Денис Васильевич	1784	1839	2-68
COL_127	A-111	Данков И.И.	Могила боярина Артамона Сергеевича Матвеева: [Стихотворение]	М.	Степанова	1840	Данков Иван Иванович	1811	1844	2-86
COL_128	A-66	Демидов М.А.	Дельные безделки: Стихотворения М. Демидова	М.	А. Семена	1840	Демидов Михаил Александрович	1817	1841	2-105
COL_129	A-112	Долгоруков А.И.	Мои счастливейшие минуты в жизни: Стихотворения кн. Александра Ивановича Долгорукого	М.	Степанова	1840	Долгоруков Александр Иванович	1793	1868	2-147
COL_130	A-113	Козлов И.И.	Собрание стихотворений Ивана Козлова	СПб.	III Отд. собств. Е.И.В. канц.	1840	Козлов Иван Иванович	1779	1840	3-5
COL_131	A-114	Лермонтов М.Ю.	Стихотворения М. Лермонтова	СПб.	Глазунова	1840	Лермонтов Михаил Юрьевич	1814	1841	3-329
COL_132	A-115	Некрасов Н.А.	Мечты и звуки. Стихотворения Н.Н.	СПб.	Е. Алипанова	1840	Некрасов Николай Алексеевич	1821	1877	4-269
COL_133	A-116	Папкевич А.	Стихотворения Александра Папкевича	СПб.	3 Деп. М-ва гос. имуществ	1840	Папкевич Александр	NA	NA	NA
